Ticker,Revenue_per_Share,Z_score
CMS,24.97448064593552,-0.2976248535564059
CTVA,24.884182375973282,-0.29804720643702926
PNR,24.840979000745428,-0.29824928195838496
WFC,24.807703877956175,-0.2984049199785709
ADI,24.784919824205694,-0.29851148803062566
XEL,24.738699704687562,-0.2987276737961935
CARR,24.629218473102405,-0.2992397513094562
PANW,24.530100148690757,-0.29970335830719075
PODD,24.204347158368854,-0.3012270055918139
CTLT,24.136145268632376,-0.30154600688171906
SW,23.992858849952214,-0.3022162016895385
CHD,23.968710284297604,-0.3023291519849474
EVRG,23.95306969098705,-0.302402307867581
AMT,23.848625135171172,-0.30289082729361994
CL,23.81485660472276,-0.3030487731337259
CTAS,23.795285407694333,-0.3031403136631919
BK,23.784242707731657,-0.3031919637794238
A,23.781183873482572,-0.3032062708913651
MRK,23.715780411089035,-0.3035121830728078
SLB,23.46422095710262,-0.30468880428696443
DVN,23.179325789036525,-0.3060213469254746
ABT,23.124776160884174,-0.30627649237396115
SO,23.047787675233646,-0.3066365912850802
AMTM,22.753614849035355,-0.30801252839437276
MU,22.648231979312936,-0.3085054366041783
PM,22.62240957910232,-0.3086262159404615
PEG,22.556919959592904,-0.308932531105329
ABNB,22.538534735334284,-0.30901852447408107
HPE,22.434491500423967,-0.30950516679837053
APA,22.38142274111294,-0.3097533857661923
FE,22.331460253040742,-0.30998707574462964
RVTY,22.301264016475187,-0.3101283128635997
BMY,22.190338485780764,-0.31064714580960257
HRL,22.08388824451564,-0.3111450464455746
KHC,22.0316406646553,-0.3113894245036353
GILD,21.78009545895516,-0.31256597907415895
AWK,21.724629798762404,-0.3128254090872465
EXC,21.62256267631241,-0.31330280852360026
EBAY,21.11064718162839,-0.3156971953031692
BXP,20.721414103051018,-0.31751775855471104
AXON,20.686806457390595,-0.31767962919567
VLTO,20.30261859705307,-0.31947659440421644
ISRG,20.00145949084119,-0.32088520850156005
MKTX,19.93396376350922,-0.321200906851931
AVB,19.462575892478444,-0.3234057334261723
NCLH,19.44481418979894,-0.3234888103920389
ON,19.38247605093462,-0.3237803851091741
TXN,19.204859741797584,-0.324611151411132
INCY,19.183228652997663,-0.3247123266902319
ORCL,19.11218111899049,-0.3250446379367448
VRSK,18.988604627763863,-0.32562264333007873
ZTS,18.85880364270153,-0.32622976260237213
V,18.84189336750212,-0.3263088571791075
CCL,18.70884452762182,-0.3269311676708871
IRM,18.682633566967574,-0.32705376442430056
ANET,18.65386658485175,-0.3271883164790469
CFG,18.47189156697775,-0.32803946980715293
MAA,18.38182751540041,-0.32846072717609487
COO,18.04213782160718,-0.3300495607246405
FIS,18.001487834608817,-0.33023969326110264
USB,17.951183178356303,-0.33047498366573497
AES,17.816482155344513,-0.3311050219279933
UBER,17.704717577361766,-0.33162777935714904
TFC,17.619320236229964,-0.3320272090808821
MRNA,17.570422168805088,-0.33225592043540136
FTV,17.48182049769437,-0.3326703377995137
PTC,17.455803887293463,-0.3327920255168031
HOLX,17.352069986911896,-0.33327722098802054
SPG,17.344027101773275,-0.33331484004437945
ICE,17.24729410280269,-0.33376729013875717
D,17.134320155889956,-0.3342957041596896
T,17.062446598951723,-0.33463187897041635
IR,17.06177483548877,-0.3346350210154832
ENPH,16.955345499176474,-0.3351328238725382
WBD,16.852576924719347,-0.33561350421644376
JNPR,16.806659642734363,-0.3358282735173934
DLR,16.529682984190398,-0.3371237788426936
ARE,16.512165115986313,-0.33720571531945526
TER,16.433020376051743,-0.3375758996974232
HWM,16.268647986756772,-0.3383447200983313
